Unnamed: 0,Wiki_ID,Movie_ID,title,BoxOfficeRevenue,Runtime,Languages,Countries,Genres,Year,Net_revenue,rating,SuccessMetric,script_id,imdb_id,female_script,Bechdel_score,proportion_actress,incl_score
233,103021,/m/0p_sc,Midnight Express,35000000.0,121.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hn10"": ""LGBT"", ""/m/0219x_"": ""Indie"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0hj3n1c"": ""Escape Film"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/07s9rl0"": ""Drama"", ""/m/03bxz7"": ""Biographical film"", ""/m/0d1w9"": ""Prison"", ""/m/03k9fj"": ""Adventure""}",1978,32700000.0,7.55,0.7735230921179831,1155,tt0077928,0.05252100840336138,0,0.08333333333333333,0.04528478057889823
298,5549065,/m/0ds11z,Sweeney Todd: The Demon Barber of Fleet Street,152523164.0,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0fx2s"": ""Tragedy"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama""}",2007,102523164.0,7.15,0.8225953310024221,5083,tt0408236,0.35930735930735935,1,0.23076923076923078,0.3078033078033078
346,1033297,/m/0401sg,Resident Evil,102441078.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0f8l9c"": ""France"", ""/m/0d060g"": ""Canada"", ""/m/07ssc"": ""United Kingdom"", ""/m/0345h"": ""Germany""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/094ddt"": ""Doomsday film"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03p15s3"": ""Plague"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/02kdv5l"": ""Action""}",2002,69441078.0,6.5,0.665815591961626,3204,tt0120804,0.39495798319327735,3,0.4,0.5983193277310924
555,30548208,/m/0g9wdmc,The Iron Lady,114943631.0,104.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0f8l9c"": ""France"", ""/m/07ssc"": ""United Kingdom""}","{""/m/017fp"": ""Biography"", ""/m/07s9rl0"": ""Drama""}",2011,101943631.0,6.300000000000001,0.6568960147512208,2634,tt1007029,0.6439232409381663,3,0.6666666666666666,0.7701966358682776
562,1964091,/m/069dl1,Next,76066841.0,95.0,"{""/m/064_8sq"": ""French Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}",2007,6066841.0,6.050047507913037,0.4001190853760555,1190,tt0435705,0.44393241167434716,2,0.16666666666666666,0.42575524833589345
595,22358819,/m/05szq8z,Clash of the Titans,493214993.0,96.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/03k9fj"": ""Adventure"", ""/m/0jdm8"": ""Remake"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action""}",2010,368214993.0,5.699868152375286,0.6129064133713416,2019,tt0800320,0.35863095238095233,3,0.2962962962962963,0.5516424162257495
599,706803,/m/034f7w,G.I. Jane,97169156.0,125.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",1997,47169156.0,6.0,0.5253951707403643,937,tt0119173,0.5784832451499118,3,0.125,0.567827748383304
657,33096336,/m/0h66h0p,"Jeff, Who Lives at Home",4269426.0,83.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/05p553"": ""Comedy film""}",2011,-5730574.0,6.25,0.3241110424303957,7624,tt1588334,0.2629399585921325,3,0.30303030303030304,0.5219900872074785
677,24207129,/m/07l50_1,A Single Man,24964890.0,101.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hn10"": ""LGBT"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation""}",2009,17964890.0,7.4,0.7086326738397271,4963,tt1315981,0.18003913894324852,1,0.2857142857142857,0.2663622526636225
890,27383563,/m/0by1wkq,Looper,136513833.0,118.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action""}",2012,106513833.0,7.0,0.800055939331541,2797,tt1276104,0.265079365079365,1,0.17647058823529413,0.25829442888266413
1053,1157158,/m/04c13q,Death to Smoochy,8382938.0,109.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom"", ""/m/0345h"": ""Germany""}","{""/m/0gf28"": ""Parody"", ""/m/0vgkd"": ""Black comedy"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy""}",2002,-46617062.0,6.099860959840568,0.2010509419364342,850,tt0266452,0.24620060790273557,2,0.2727272727272727,0.395198182432225
